TIMESTAMP,TA_F,SW_IN_F,VPD_F,GPP_NT_VUT_REF
19990101,-20.063,72.603,0.413,-0.517364
19990102,-12.814,12.358,0.147,-0.0942406
19990103,-12.625,33.132,0.128,-0.166819
19990104,-18.652,93.481,0.263,-0.582301
19990105,-20.269,45.502,0.261,-0.56824
19990106,-18.251,81.222,0.265,-0.529415
19990107,-22.224,86.926,0.269,-0.579116
19990108,-17.083,27.168,0.211,-0.467588
19990109,-20.887,55.583,0.207,-0.484122
19990110,-22.017,47.494,0.235,-0.594398
19990111,-21.499,31.586,0.272,-0.746592
19990112,-18.271,12.469,0.299,-0.417154
19990113,-18.63,18.251,0.518,-0.431822
19990114,-14.832,13.419,0.555,-0.297978
19990115,-11.642,17.852,0.67,-0.251941
19990116,0.334,83.195,1.575,-0.0212918
19990117,-0.19,47.584,1.307,-0.0592131
19990118,-2.235,13.395,0.608,-0.109431
19990119,-8.417,68.843,0.734,-0.301469
19990120,-4.588,68.759,0.797,-0.1478
19990121,-3.902,43.062,0.733,-0.163484
19990122,-2.98,16.929,0.622,-0.0208715
19990123,-2.953,17.152,0.598,-0.017001
19990124,-6.059,51.66,0.762,-0.231621
19990125,-9.242,65.938,0.655,-0.407123
19990126,-7.979,66.833,0.825,-0.314127
19990127,-3.302,17.458,0.64,-0.0338331
19990128,-4.541,41.903,0.682,-0.187249
19990129,-5.707,99.603,1.074,-0.166331
19990130,-1.49,108.33,1.191,-0.0516608
19990131,-2.057,110.327,1.18,-0.0891127
19990201,-1.995,23.949,0.755,-0.196025
19990202,0.007,91.526,1.482,-0.0695248
19990203,0.307,34.164,1.037,-0.0203337
19990204,-11.35,127.887,0.641,-0.364477
19990205,-3.552,63.857,1.228,-0.125857
19990206,-4.781,90.048,1.156,-0.165243
19990207,-4.63,69.873,2.044,-0.243077
19990208,2.461,53.139,1.806,-0.134937
19990209,1.081,129.729,1.686,-0.0818792
19990210,2.519,67.003,1.101,0.0466391
19990211,0.947,22.793,0.793,0.0922656
19990212,-12.207,87.155,0.896,-0.343312
19990213,-7.751,148.038,1.668,-0.278544
19990214,-0.631,143.746,2.3,-0.124923
19990215,0.711,108.342,1.411,-0.165023
19990216,-4.507,29.843,0.009,-0.00569358
19990217,-9.734,76.332,0.187,-0.0851224
19990218,-10.903,72.563,0.557,-0.155764
19990219,-10.887,107.106,0.568,-0.134548
19990220,-8.085,160.837,1.001,0.0230664
19990221,-7.525,169.865,1.55,-0.0373154
19990222,-7.417,165.833,1.571,-0.035531
19990223,-7.201,136.559,1,-0.0334347
19990224,-6.732,40.845,0.44,0.0201108
19990225,-4.018,35.327,0.065,0.135961
19990226,-0.767,116.851,0.879,0.132954
19990227,0.391,31.211,0.036,0.111217
19990228,-1.115,38.404,0.237,0.111186
19990301,-0.889,118.667,1.119,0.0301069
19990302,-2.918,30.07,0.571,-0.0132585
19990303,-7.947,125.167,0.565,-0.0602438
19990304,-8.699,112.705,0.651,-0.058171
19990305,-8.322,154.803,0.63,-0.0101208
19990306,-10.032,173.145,0.979,-0.145466
19990307,-8.658,202.942,1.468,-0.326198
19990308,-6.221,77.134,0.851,-0.150556
19990309,-4.936,92.614,0.346,-0.0185547
19990310,-4.658,186.147,1.417,-0.099316
19990311,-4.32,207.346,1.939,-0.28939
19990312,-2.069,209.193,3.078,-0.292183
19990313,-0.208,178.558,3.655,-0.299686
19990314,0.807,210.332,4.274,-0.206991
19990315,2.316,201.483,4.18,-0.209358
19990316,5.521,204.165,4.762,-0.16666
19990317,2.136,70.704,0.952,-0.0734959
19990318,-3.634,107.946,0.539,-0.127262
19990319,-1.02,228.279,2.131,-0.119845
19990320,1.096,129.491,1.794,-0.0746992
19990321,-3.236,156.463,1.26,-0.0350712
19990322,-1.334,198.379,2.493,-0.0767922
19990323,0.75,217.029,2.768,-0.0548079
19990324,-2.031,220.347,3.019,-0.130405
19990325,-0.177,222.854,3.364,-0.0933353
19990326,4.024,225.887,3.647,-0.00442804
19990327,6.794,221.175,3.638,0.0261007
19990328,4.401,29.787,2.205,-0.216432
19990329,5.348,226.163,5.643,-0.119565
19990330,11.617,192.922,6.701,0.293711
19990331,13.069,179.065,4.413,0.218743
19990401,10.363,91.985,2.293,-0.224844
19990402,10.16,131.276,1.998,-0.150231
19990403,1.969,52.062,0.012,0.0814686
19990404,4.36,64.363,0.459,0.231308
19990405,1.32,52.948,0.035,0.194689
19990406,2.855,63.169,0.433,0.436642
19990407,9.681,166.031,3.816,0.337725
19990408,9.354,218.475,6.412,0.0993141
19990409,5.68,245.874,5.622,0.188473
19990410,3.724,155.173,4.17,0.15066
19990411,3.143,120.343,1.91,0.138255
19990412,5.818,255.534,5.778,-0.214548
19990413,10.622,276.652,8.645,-0.426515
19990414,12.129,158.019,7.132,-0.382536
19990415,6.367,74.024,1.177,0.199731
19990416,5.028,263.735,3.335,0.121334
19990417,1.717,120.901,1.689,0.294529
19990418,2.677,107.021,2.542,0.411538
